,0,1
0,MKT-22005,31
1,MKT-22006,1
2,MKT-22008,39
3,MKT-22013,7
4,MKT-22015,31
5,MKT-22017,54
6,MKT-22018,7
7,MKT-22023,42
8,MKT-22027,1
9,MKT-22029,54
10,MKT-22032,54
11,MKT-22033,54
12,MKT-22034,2
13,MKT-22037,39
14,MKT-22038,31
15,MKT-22044,7
16,MKT-22045,2
17,MKT-22046,12
18,MKT-22049,31
19,MKT-22050,31
20,MKT-22054,2
21,MKT-22059,1
22,MKT-22064,7
23,MKT-22065,39
24,MKT-22069,42
25,MKT-22072,12
26,MKT-22075,42
27,MKT-22077,7
28,MKT-22079,42
29,MKT-22086,12
30,MKT-22089,1
31,MKT-22090,31
32,MKT-22094,39
33,MKT-22096,7
34,MKT-22098,2
35,MKT-22101,54
36,MKT-22102,42
37,MKT-22110,7
38,MKT-22111,1
39,MKT-22116,12
40,MKT-22118,12
41,MKT-22119,39
42,MKT-22122,42
43,MKT-22129,54
44,MKT-22130,2
45,MKT-22131,2
46,MKT-22135,31
47,MKT-22137,1
48,MKT-22138,2
49,MKT-22139,39
50,MKT-22144,54
51,MKT-22145,39
52,MKT-22146,1
53,MKT-22149,39
54,MKT-22150,12
55,MKT-22153,12
56,MKT-22159,42
