ID;PROPOSAL LIST
6;[MKT-22087]
7;[MKT-22043,MKT-22054]
9;[MKT-22009]
10;[MKT-22064,MKT-22065]
12;[MKT-22004,MKT-22029,MKT-22032,MKT-22059,MKT-22069,MKT-22101,MKT-22122]
14;[MKT-22084]
15;[MKT-22005,MKT-22137]
17;[MKT-22081]
21;[MKT-22051,MKT-22079,MKT-22100,MKT-22121]
26;[MKT-22013,MKT-22137]
27;[MKT-22020,MKT-22025,MKT-22091]
28;[MKT-22065,MKT-22103,MKT-22117]
29;[MKT-22051]
31;[MKT-22033]
32;[MKT-22087]
33;[MKT-22025,MKT-22091]
35;[MKT-22034,MKT-22147]
36;[MKT-22087,MKT-22137,MKT-22139]
37;[MKT-22045,MKT-22074,MKT-22087,MKT-22111,MKT-22131,MKT-22132]
38;[MKT-22008,MKT-22009,MKT-22025,MKT-22029,MKT-22032,MKT-22059,MKT-22066,MKT-22069,MKT-22106,MKT-22122]
39;[MKT-22135]
40;[MKT-22155]
41;[MKT-22012,MKT-22074,MKT-22103]
43;[MKT-22007]
45;[MKT-22013]
46;[MKT-22011,MKT-22106]
50;[MKT-22062,MKT-22078,MKT-22097]
51;[MKT-22109,MKT-22113]
52;[MKT-22004,MKT-22017,MKT-22023]
54;[MKT-22004,MKT-22023,MKT-22025,MKT-22086,MKT-22116,MKT-22124]
55;[MKT-22009,MKT-22025,MKT-22066,MKT-22069,MKT-22101]
57;[MKT-22020,MKT-22048,MKT-22120,MKT-22131]
58;[MKT-22089,MKT-22102]
